component_id	field	de	en	es	fr	it	pt	nl	pl	tr	ru	zh-Hans	ja
agent_workspace	name	Agenten-Arbeitsbereich	Agent workspace	Espacio de trabajo del agente	Espace de travail de l'agent	Area di lavoro dell'agente	Espaço de trabalho do agente	Agentwerkruimte	Obszar roboczy agenta	Ajan çalışma alanı	Рабочая область агента	代理工作区	エージェント作業領域
agent_workspace	summary	Startpunkt, in dem der Agent Regeln liest, den Modus prüft und Arbeit einordnet.	Starting point where the agent reads rules, checks mode, and classifies work.	Punto de inicio donde el agente lee reglas, comprueba el modo y clasifica el trabajo.	Point de départ où l'agent lit les règles, vérifie le mode et classe le travail.	Punto di partenza in cui l'agente legge le regole, controlla la modalità e classifica il lavoro.	Ponto inicial onde o agente lê regras, verifica o modo e classifica o trabalho.	Startpunt waar de agent regels leest, de modus controleert en werk indeelt.	Punkt startowy, w którym agent czyta reguły, sprawdza tryb i klasyfikuje pracę.	Ajanın kuralları okuduğu, modu denetlediği ve işi sınıflandırdığı başlangıç noktası.	Начальная точка, где агент читает правила, проверяет режим и классифицирует работу.	代理读取规则、检查模式并归类工作的起点。	エージェントがルールを読み、モードを確認し、作業を分類する開始点。
repository_mode_guard	name	Repo-Modus-Guard	Repository mode guard	Guardia de modo del repositorio	Garde du mode du dépôt	Controllo modalità repository	Guarda de modo do repositório	Repositorymodus-bewaking	Strażnik trybu repozytorium	Depo modu koruması	Контроль режима репозитория	仓库模式保护	リポジトリモードガード
repository_mode_guard	summary	Erkennt `template`, `operational` oder `local-only` und setzt die Sicherheitsgrenzen.	Detects `template`, `operational`, or `local-only` and applies safety boundaries.	Detecta `template`, `operational` o `local-only` y aplica límites de seguridad.	Détecte `template`, `operational` ou `local-only` et applique les limites de sécurité.	Rileva `template`, `operational` o `local-only` e applica i limiti di sicurezza.	Detecta `template`, `operational` ou `local-only` e aplica limites de segurança.	Detecteert `template`, `operational` of `local-only` en past veiligheidsgrenzen toe.	Wykrywa `template`, `operational` lub `local-only` i stosuje granice bezpieczeństwa.	`template`, `operational` veya `local-only` modunu algılar ve güvenlik sınırlarını uygular.	Определяет `template`, `operational` или `local-only` и применяет границы безопасности.	检测 `template`、`operational` 或 `local-only` 并应用安全边界。	`template`、`operational`、`local-only` を検出し、安全境界を適用する。
visibility_guard	name	Sichtbarkeits-Guard	Visibility guard	Guardia de visibilidad	Garde de visibilité	Controllo visibilità	Guarda de visibilidade	Zichtbaarheidsbewaking	Strażnik widoczności	Görünürlük koruması	Контроль видимости	可见性保护	可視性ガード
visibility_guard	summary	Verhindert, dass Hostdaten in ein öffentliches oder ungeprüftes Repository geschrieben werden.	Prevents host data from being written to a public or unchecked repository.	Evita que los datos del equipo se escriban en un repositorio público o no verificado.	Empêche l'écriture de données hôte dans un dépôt public ou non vérifié.	Impedisce la scrittura di dati host in un repository pubblico o non verificato.	Impede que dados do host sejam gravados em um repositório público ou não verificado.	Voorkomt dat hostgegevens naar een openbare of ongecontroleerde repository worden geschreven.	Zapobiega zapisowi danych hosta do publicznego lub niesprawdzonego repozytorium.	Ana makine verilerinin herkese açık veya denetlenmemiş bir depoya yazılmasını engeller.	Не допускает запись данных хоста в публичный или непроверенный репозиторий.	防止主机数据写入公共或未检查的仓库。	ホストデータが公開または未確認のリポジトリへ書き込まれることを防ぐ。
first_run_configuration	name	Erststart-Konfiguration	First-run configuration	Configuración inicial	Configuration initiale	Configurazione iniziale	Configuração inicial	Eerste configuratie	Konfiguracja pierwszego uruchomienia	İlk çalıştırma yapılandırması	Первичная настройка	首次运行配置	初回設定
first_run_configuration	summary	Erfasst Profil, Sprache und aktivierbare Arbeitsbereiche als wiederholbare Toggle-Konfiguration.	Captures profile, language, and enableable work areas as a repeatable toggle configuration.	Registra perfil, idioma y áreas activables como una configuración repetible con interruptores.	Enregistre le profil, la langue et les domaines activables comme configuration répétable.	Registra profilo, lingua e aree attivabili come configurazione ripetibile.	Registra perfil, idioma e áreas ativáveis como uma configuração repetível.	Legt profiel, taal en activeerbare werkgebieden vast als herhaalbare schakelconfiguratie.	Zapisuje profil, język i aktywowane obszary jako powtarzalną konfigurację przełączników.	Profil, dil ve etkinleştirilebilir çalışma alanlarını tekrarlanabilir bir yapılandırma olarak kaydeder.	Фиксирует профиль, язык и включаемые области как повторяемую конфигурацию.	将配置文件、语言和可启用工作区记录为可重复的开关配置。	プロファイル、言語、有効化できる作業領域を再実行可能な切り替え設定として記録する。
infrastructure_snapshot	name	Infrastruktur-Snapshot	Infrastructure snapshot	Instantánea de infraestructura	Instantané d'infrastructure	Snapshot infrastruttura	Instantâneo da infraestrutura	Infrastructuursnapshot	Migawka infrastruktury	Altyapı anlık görüntüsü	Снимок инфраструктуры	基础设施快照	インフラスナップショット
infrastructure_snapshot	summary	Dokumentiert den aktuellen Zustand, bevor Installationen, Dienste, Container oder Paketmanager geändert werden.	Documents current state before installations, services, containers, or package managers are changed.	Documenta el estado actual antes de cambiar instalaciones, servicios, contenedores o gestores de paquetes.	Documente l'état actuel avant de modifier installations, services, conteneurs ou gestionnaires de paquets.	Documenta lo stato attuale prima di modificare installazioni, servizi, container o gestori di pacchetti.	Documenta o estado atual antes de alterar instalações, serviços, contêineres ou gerenciadores de pacotes.	Documenteert de actuele staat voordat installaties, services, containers of pakketbeheerders wijzigen.	Dokumentuje stan bieżący przed zmianą instalacji, usług, kontenerów lub menedżerów pakietów.	Kurulumlar, hizmetler, konteynerler veya paket yöneticileri değişmeden önce mevcut durumu belgeler.	Документирует текущее состояние перед изменением установок, служб, контейнеров или менеджеров пакетов.	在更改安装、服务、容器或包管理器之前记录当前状态。	インストール、サービス、コンテナ、パッケージ管理を変更する前に現状を記録する。
